year,Top decile as % median - Gross individual earnings
1958.0,148.0
1959.0,149.0
1960.0,150.0
1962.0,149.0
1963.0,149.0
1964.0,149.0
1965.0,150.0
1966.0,150.0
1967.0,153.0
1968.0,152.0
1969.0,154.0
1970.0,156.0
1971.0,157.0
1972.0,157.0
1973.0,156.0
1984.0,151.8
1986.0,148.6
1988.0,149.6
1990.0,155.3
1992.0,155.5
1994.0,156.7
1995.0,154.8
1996.0,162.7
1997.0,170.4
1998.0,165.9
1999.0,169.8
2000.0,168.9
2001.0,175.8
2002.0,173.9
2003.0,180.6
2004.0,175.6
2005.0,176.7
2006.0,177.8
2007.0,182.5
2008.0,187.0
2009.0,183.0
2010.0,182.5
2011.0,185.3
2012.0,187.5
2013.0,186.4
2014.0,188.5
2015.0,189.0
2016.0,187.5
2017.0,185.2
2018.0,184.3
2019.0,185.4
2020.0,185.8
