year,F5 - Earnings Dispersion
1971,195.9256472
1975,176.9266493
1977,168.3508311
1980,165.4609534
1983,169.4183367
1986,169.5275922
1987,169.776042
1988,168.449544
1989,171.3562527
1990,169.9652843
1991,168.2509876
1992,165.8022789
1993,164.8303293
1994,168.1635394
1995,165.7417587
1996,163.9968645
1997,169.0015129
1998,172.8599882
1999,169.1175838
2000,171.5269742
2001,172.9932718
2002,170.5931559
2003,172.4392585
2004,169.2456684
2005,175.1018717
2006,172.5200185
2007,176.3065198
2008,175.7656499
2009,175.9488757
2010,173.7439641
2011,174.6094402
2012,172.9689094
2013,172.9228741
2014,175.5739929
2015,177.4358573
2016,174.6724665
2017,178.6206004
2018,176.3817336
2019,174.721445
