year,F5 - Earnings Dispersion
1986,153.9828678
1993,154.060285
1994,153.4409472
1995,153.3054671
1996,153.3925614
1997,154.0266667
1998,153.2377657
1999,154.7619048
2000,155.158371
2001,157.4717637
2002,158.153721
2003,158.445146
2004,158.6666667
2005,158.9516427
2006,160.6574761
2007,161.8666667
2008,160.8367411
2009,162.6597687
2010,162.3099415
2011,164.3704122
2012,162.8664495
2013,164.7599055
2014,164.4726811
2015,165.1688183
2016,163.7096774
2017,163.3907221
2018,163.9702464
2019,163.9641657
2020,164.1087481
