year,Top decile as % median
1900,
1901,
1902,
1903,
1904,
1905,
1906,
1907,
1908,
1909,
1910,
1911,
1912,
1913,
1914,
1915,
1916,
1917,
1918,
1919,
1920,
1921,
1922,
1923,
1924,
1925,
1926,
1927,
1928,
1929,
1930,
1931,
1932,
1933,
1934,
1935,
1936,
1937,
1938,
1939,
1940,
1941,
1942,
1943,
1944,
1945,
1946,
1947,
1948,
1949,
1950,
1951,
1952,
1953,
1954,162.44
1955,162.96
1956,161.8
1957,163.33
1958,164.64
1959,168.11
1960,168.69
1961,168.1
1962,167.86
1963,166.02
1964,172.31
1965,175.85
1966,174.43
1967,173.29
1968,172.96
1969,
1970,173.85
1971,171.87
1972,171.67
1973,169.59
1974,165.82
1975,166.11
1976,167.01
1977,165.52
1978,165.42
1979,166.71
1980,169.19
1981,174.35
1982,174.94
1983,175.44
1984,177.02
1985,177.72
1986,178.21
1987,180.79
1988,182.38
1989,182.08
1990,184.96
1991,184.57
1992,184.75
1993,185.91
1994,185.73
1995,186.77
1996,188.5
1997,186.36
1998,188.87
1999,190.24
2000,189.99
2001,193.55
2002,195.46
2003,195.63
2004,194.72
2005,197.69
2006,198.98
2007,198.47
2008,198.67
2009,199.09
2010,198.05
2011,200.38
2012,197.96
2013,197.14
2014,197.82
2015,196.34
2016,196.58
2017,198.55
2018,198.19
2019,196.99
2020,199.47
2021,191.4361
