year,Top decile as % median - Gross individual earnings
1951,215.0
1952,217.1
1953,230.5
1954,225.4
1955,221.2
1956,226.4
1957,229.5
1958,228.5
1959,225.4
1960,225.4
1961,220.2
1962,215.0
1963,209.8
1964,206.7
1965,201.6
1966,199.5
1967,194.3
1968,193.3
1969,190.2
1970,187.1
1971,183.0
1972,184.0
1973,180.9
1974,176.8
1975,175.7
1976,176.3
1977,175.5
1978,176.1
1979,175.7
1980,175.6
1981,176.8
1982,179.1
1983,181.8
1984,183.2
1985,181.0
1986,182.8
1987,183.9
1988,185.1
1989,186.5
1990,187.2
1991,185.9
1992,185.0
1993,184.4
1994,184.8
1995,184.9
1996,184.7
1997,184.9
1998,184.0
1999,183.5
2000,183.6
2001,182.6
2002,183.3
2003,182.0
2004,182.3
2005,186.2
2006,185.7
2007,185.8
2008,183.8
2009,184.6
2010,183.2
2011,184.1
2012,185.3
2013,184.1
2014,184.1
2015,185.2
2016,182.2
2017,182.0
2018,181.8
2019,180.7
2020,180.7
