year,Top decile as % median - Gross individual earnings
1977,162.7
1978,161.2
1979,161.4
1980,160.4
1981,160.2
1982,158.7
1983,158.8
1984,160.2
1985,161.5
1986,164.1
1987,164.4
1988,165.8
1989,165.8
1990,166.4
1991,165.7
1992,165.1
1993,167.3
1994,165.8
1995,171.9
1996,172.0
1997,171.2
1999,175.6
2002,172.4
2006,176.4
2010,176.3
2014,181.2
2018,180.7
