year,Top decile as % median - Gross individual earnings
1973,176.5
1975,168.0
1977,153.8
1978,155.6
1979,150.0
1980,146.2
1981,142.5
1982,154.4
1983,149.3
1984,150.0
1986,142.9
1987,156.0
1989,144.4
1991,152.6
1993,157.1
1995,163.6
1998,154.2
2000,160.0
2002,164.2
2004,165.5
2006,166.7
2008,159.2
2010,155.1
2012,159.0
