year,F4 - Earnings Dispersion
1949,159.1678537
1951,164.0327848
1957,162.7636723
1962,163.821266
1966,163.6097473
1972,160.8600036
1978,162.9751911
1990,174.4458525
1992,174.4956
1993,177.8771
1994,171.2869
1995,174.926
1996,177.2727
1997,175
1998,174.7253
1999,178.2629
2000,177.5707
2001,173.928
2002,173.9788
2003,169.3867
2004,175
2005,171.9626
2006,177.8818
2007,177.5232
2008,178.5334
2009,178.8234
2010,178.5714
2011,186.0534
2012,181.248
2013,186.4869
2014,183.3333
2015,190.1639
2016,181.5754
2017,184.0303
2018,186.399
2019,184.5938
