year,Top decile as % median
1954,162.4423868
1955,162.963507
1956,161.8006177
1957,163.3269628
1958,164.6422379
1959,168.1076117
1960,168.6947345
1961,168.0987169
1962,167.8553445
1963,166.0243977
1964,172.310496
1965,175.852276
1966,174.425814
1967,173.2928203
1968,172.9573014
1969,
1970,173.8498562
1971,171.8664009
1972,171.6680554
1973,169.5854274
1974,165.8168623
1975,166.1143806
1976,167.0069355
1977,165.519344
1978,165.4201712
1979,166.7094172
1980,169.1887363
1981,174.3457201
1982,174.9407566
1983,175.4366205
1984,177.0233847
1985,177.7175941
1986,178.2134579
1987,180.7919498
1988,182.378714
1989,182.0811957
1990,184.9572059
1991,184.5681372
1992,184.7473947
1993,185.906936
1994,185.7322767
1995,186.7655562
1996,188.4964595
1997,186.3599555
1998,188.8658258
1999,190.2433177
2000,189.9915529
2001,193.5481832
2002,195.4641333
2003,195.6289656
2004,194.7209531
2005,197.6932137
2006,198.9774017
2007,198.4690827
2008,198.6739994
2009,199.0935738
2010,198.0521254
2011,200.3812964
2012,197.9648291
2013,197.1395439
2014,197.8197955
2015,196.3384557
2016,196.5837356
2017,198.5454545
2018,198.187577
2019,196.9924812
2020,199.4707188
2021,191.436057
