year,Gini coefficient
1938,42.6
1949,35.5
1954,35.8
1959,36
1962,35.6
1963,35.6
1964,36.6
1965,35.4
1966,33.7
1967,33.5
1968,33.2
1969,33.5
1970,33.9
1971,34.2
1972,33.1
1973,32.8
1974,32.4
1975,31.5
1976,31.5
