year,Top decile as % median - Gross individual earnings
1991.0,160.9
1992.0,158.9
1993.0,159.0
1994.0,159.5
1995.0,164.9
1996.0,164.4
1998.0,169.6
2000.0,172.5
2002.0,173.3
2004.0,176.3
2006.0,179.5
2008.0,182.3
2010.0,183.5
2012.0,184.5
2014.0,178.2
2016.0,178.4
2018.0,182.5
2020.0,184.8
