year,Top decile as % median - Gross individual earnings
1975,150.7
1978,143.4
1980,147.0
1981,145.5
1982,143.7
1983,141.1
1984,142.9
1985,148.7
1986,146.9
1987,147.4
1988,146.6
1989,147.1
1990,146.3
1991,149.8
1992,144.8
1993,145.3
1994,145.8
1995,145.2
1996,147.7
1997,150.0
1998,151.8
1999,154.0
2000,155.2
2001,157.9
2002,157.4
2003,157.1
2004,157.1
2005,157.9
2006,157.7
2007,157.4
2008,159.2
2009,157.8
2010,158.1
2011,157.1
2012,157.9
2013,158.6
2014,158.9
2015,157.7
2016,158.4
2017,159.3
2018,159.2
2019,157.7
2020,158.0
